Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA,Signal,Position,Holdings,Cash,Total,Returns
2020-04-29,190.63999938964844,192.67999267578125,188.92999267578125,189.61000061035156,189.61000061035156,7645000,186.69750061035157,192.9106002807617,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-04-30,188.3000030517578,189.8699951171875,186.7100067138672,187.36000061035156,187.36000061035156,8217800,187.26800079345705,192.07300018310548,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-01,185.2100067138672,185.88999938964844,181.63999938964844,182.6699981689453,182.6699981689453,7513700,187.41500091552737,191.16300018310548,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-04,179.77999877929688,180.36000061035156,176.33999633789062,177.9499969482422,177.9499969482422,9448600,187.39550094604493,190.1354000854492,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-05,180.0500030517578,180.22999572753903,175.92999267578125,176.02999877929688,176.02999877929688,9016300,186.93500061035155,189.22220001220705,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-06,176.94000244140625,177.0399932861328,172.33999633789062,172.3800048828125,172.3800048828125,9003000,186.2915008544922,188.30880004882812,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-07,173.39999389648438,175.3800048828125,173.0500030517578,173.47999572753906,173.47999572753906,6698000,185.41500091552737,187.45720001220704,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-08,176.7100067138672,177.25999450683594,174.27999877929688,176.8300018310547,176.8300018310547,5793600,184.56450119018555,186.84040008544923,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-11,175.22999572753906,175.9600067138672,173.61000061035156,174.63999938964844,174.63999938964844,9235700,183.8580009460449,186.2064001464844,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-12,175.1999969482422,175.7100067138672,172.72999572753906,172.80999755859375,172.80999755859375,6470900,182.85150070190429,185.31,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-13,172.0,172.61000061035156,169.44000244140625,170.57000732421875,170.57000732421875,10258900,181.9515007019043,184.5452001953125,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-14,168.8000030517578,171.39999389648438,167.0399932861328,170.92999267578125,170.92999267578125,7013600,181.1,183.6066000366211,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-15,169.82000732421875,170.66000366210938,168.52000427246094,169.25,169.25,5937500,180.00250015258788,182.81239990234377,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-18,174.0,176.8699951171875,172.30999755859375,175.4600067138672,175.4600067138672,7458900,179.33800048828124,182.2020001220703,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-19,174.1199951171875,174.8699951171875,172.33999633789062,172.49000549316406,172.49000549316406,5574800,178.7885009765625,181.78920013427737,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-20,174.61000061035156,176.8699951171875,174.2899932861328,176.02000427246094,176.02000427246094,5455600,178.2605010986328,181.25500030517577,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-21,175.74000549316406,176.64999389648438,174.47000122070312,174.94000244140625,174.94000244140625,4059900,177.7260009765625,180.86100036621093,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-22,174.86000061035156,175.1199951171875,173.2100067138672,174.92999267578125,174.92999267578125,3584800,177.14650039672853,180.8402001953125,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-26,179.99000549316406,181.69000244140625,178.67999267578125,180.33999633789065,180.33999633789065,7107600,176.79049987792968,180.5190002441406,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
2020-05-27,184.6699981689453,185.97999572753903,183.8000030517578,185.77000427246097,185.77000427246097,7410500,176.72300033569337,180.67900024414064,0,0.0,0.0,99998.68000793457,99998.68000793457,0.0
